Entity,Year,CO2_per_capita,Population,Poverty_rate
Czechia,2012,10.591444,10507287,0.032207154
Czechia,2013,10.153296,10511117,0.04569093
Czechia,2015,9.976934,10524367,0.008764512
Czechia,2018,10.080272,10548878,0.008861816
Czechia,2020,8.689388,10550083,0.00814216
Czechia,2021,9.17754,10530619,0.059850585
Democratic Republic of Congo,2004,0.035578515,56997687,91.4673
Democratic Republic of Congo,2012,0.038186423,73254570,69.68845
Democratic Republic of Congo,2020,0.04481212,95989947,78.94202
Denmark,1987,11.359712,5127093,0.49739555
Denmark,1992,11.276528,5171320,0.49395204
Denmark,2003,11.248856,5390562,0.3432746
Denmark,2004,10.193794,5404551,0.31498066
Denmark,2005,9.50771,5419506,0.2548476
Denmark,2006,10.941338,5437380,0.13750921
Denmark,2007,10.015147,5461554,0.01391448
Denmark,2008,9.328067,5493714,0.113210574
Denmark,2009,8.842789,5523119,0.49477512
Denmark,2010,8.864642,5547824,0.05729401
Denmark,2013,7.436014,5615285,0.31091565
Denmark,2014,6.656015,5643742,0.20261092
Denmark,2015,6.17604,5683641,0.17542586
Denmark,2016,6.4428453,5728150,0.27838695
Denmark,2017,6.010725,5765108,0.14090516
Denmark,2018,5.972235,5793761,0.17011176
Denmark,2019,5.3214316,5814566,0.25140718
Denmark,2020,4.8519464,5831483,0.1649913
Denmark,2021,5.051886,5856724,0.15367964
Djibouti,2002,0.5020219,795535,22.547215
Djibouti,2012,0.3070051,966707,19.691906
Djibouti,2013,0.3904211,984788,24.925982
Djibouti,2017,0.39224893,1054797,19.079206
Dominican Republic,1986,1.2358639,6571160,7.092
Dominican Republic,1989,1.4649462,7002239,17.415
Dominican Republic,1992,1.3988973,7447429,7.615
Dominican Republic,1996,2.0521183,8032847,6.450147
Dominican Republic,1997,2.1122622,8174028,6.870507
Dominican Republic,2000,2.2124074,8584145,6.71443
Dominican Republic,2001,2.1954215,8720237,5.1379633
Dominican Republic,2002,2.3665485,8852187,7.614324
Dominican Republic,2003,2.376798,8980573,8.697802
Dominican Republic,2004,1.9037334,9104842,11.607311
Dominican Republic,2005,1.9447758,9224982,7.409543
Dominican Republic,2006,2.0459967,9341136,6.255223
Dominican Republic,2007,2.114397,9455618,6.067928
Dominican Republic,2008,2.123852,9573095,5.4486
Dominican Republic,2009,2.0402503,9695215,4.679977
Dominican Republic,2010,2.0929904,9820138,3.8692138
Dominican Republic,2011,2.1434574,9945574,4.055294
